CÓDIGO,nombre_limpio,cantidad_base,unidad_base,CATEGORÍA
,,,,
101710005,**D**TE CLUB PREMIUM CEYLON 100BLS (CAJA 10),,,CAFE Y BEBIDAS CALIENTES
104529400,20002356 RESERVA DE TIERRA ESPRESSO CUP (UNIDAD),,,CAFE Y BEBIDAS CALIENTES
104529350,20003121 MENU HOLDER PREMIUM (CAJA 4),,,CAFE Y BEBIDAS CALIENTES
150001924,40011 COBERTOR DE WC 125 UDS (CAJA 20),,,HIGIENE Y LIMPIEZA
104538080,40712 TOALLA 1H PLUS 200 M (CAJA 2),,,HIGIENE Y LIMPIEZA
105200930,40844 TOALLA 2H EXCELLENCE DOBLADA 200 U (CAJA 18),,,HIGIENE Y LIMPIEZA
104538090,51003 HIGIENICO PLUS 1H 400 M (DISPLAY 4),,,HIGIENE Y LIMPIEZA
150002051,85116 SERV INTERFOLIADA 2H 400 UDS (CAJA 18),,,HIGIENE Y LIMPIEZA
104531220,85277 SERV RESTAURANT 1H 24X24CM 120 UDS (CAJA 24),24,cm,HIGIENE Y LIMPIEZA
104532420,90302296 PAN DE LENGUA CJ X 55 UN (CAJA),55,un,PANADERIA
104532410,90302454 AMASADO SANDWICH SOFT CJ X 60UN (CAJA 60),60,un,PANADERIA
105200730,98135 ALCOHOL GEL MULTIFLEX ELITE 1 L (CAJA 6),1,l,HIGIENE Y LIMPIEZA
104545200,ABLANDADOR AUTOMATICO 12 LT VH (UNIDAD),12,lt,MAQUINAS Y REPUESTOS
150000273,ACEITE FRITO MASTER 10 L (CAJA 2),10,l,ABARROTES
104521960,ACEITE MARAVILLA MINI RELKON 8 ML (CAJA 300),8,ml,ABARROTES
104500940,ACEITE MARAVILLA NATURA 3 L (CAJA 6),3,l,ABARROTES
104540490,ACEITE MARAVILLA PARRAL 5 L (CAJA 4),5,l,ABARROTES
104540480,ACEITE MARAVILLA PARRAL 900 ML (CAJA 12),900,ml,ABARROTES
104531070,ACEITE OLIVA E VIRGEN OLITALIA 250 ML (CAJA 12),250,ml,ABARROTES
