ID_Producto,nombre_limpio,cantidad_base,unidad_base,categoria_base
4207900,ACEITE DE CANOLA BELMONT BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4226379,ACEITE DE CANOLA MAXI CANOIL BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4199196,ACEITE DE CANOLA MAZOLA BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4200845,ACEITE DE OLIVA ABUELOS DEL CAMPO EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4200862,ACEITE DE OLIVA ABUELOS DEL CAMPO EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4248343,ACEITE DE OLIVA ALIACE EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4200114,ACEITE DE OLIVA BANQUETE EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4227348,ACEITE DE OLIVA BANQUETE EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4275203,ACEITE DE OLIVA BE GREEN DE LA GRANJA EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4275016,ACEITE DE OLIVA BE GREEN DE LA GRANJA EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4321244,ACEITE DE OLIVA CHEF EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4321261,ACEITE DE OLIVA CHEF EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4216468,ACEITE DE OLIVA GIADA EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4216485,ACEITE DE OLIVA GIADA EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4319627,ACEITE DE OLIVA GRECCO EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4257642,ACEITE DE OLIVA KARDAMILI EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4257659,ACEITE DE OLIVA KARDAMILI EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4257319,ACEITE DE OLIVA LA RIVIERA EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4257217,ACEITE DE OLIVA LA RIVIERA EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4241832,ACEITE DE OLIVA NATURA EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4261569,ACEITE DE OLIVA NATURA EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4272925,ACEITE DE OLIVA NUESTRA COCINA EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4272908,ACEITE DE OLIVA NUESTRA COCINA EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4252321,ACEITE DE OLIVA NUTRICAMPO EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4242903,ACEITE DE OLIVA NUTRICAMPO EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4320239,ACEITE DE OLIVA OLIOLIVA EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4239401,ACEITE DE OLIVA ROSSETTI EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
4246813,ACEITE DE OLIVA SABORES DEL VALLE EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4231751,ACEITE DE OLIVA SANTIAGO GREEN OLIVES EXTRAVIRGEN BOTELLA 500 ML UNIDAD,"500,00",ml,ABARROTES
4276189,ACEITE DE OLIVA SOL DE ACULEO EXTRAVIRGEN BOTELLA 1 L UNIDAD,"1,00",l,ABARROTES
